"key","AIContextualSummary","AffiliateLink","AnnualFee","CardTier","FullName","Issuer","Perks","RewardsRate","SpecialOffers","UpdatedAt"
"","カード名: UCプラチナカード
                    年会費: 16,500円（初年度無料）
                    ポイント還元率: 1.0%～7.0%
                    特徴: 還元率は1％、3か月45万円以上の利用でボーナスポイント、家族カードを1枚追加しても年会費3万円未満とお得なプラチナカード、スマホ補償が自動付帯　スマホ等の修理代金を年間最大3万円まで補償、ANAやJALなどの対象航空会社での利用で7％還元、Visaプラチナコンシェルジュデスクを利用可能","","16,500円（初年度無料）","Platinum","UCプラチナカード","","Visaプラチナ特典付き、年会費1万円台のUCプラチナカードです。","1.0%～7.0%","価格.comからのお申し込みで初年度年会費無料","2025-10-01T14:04:43.460870"
"","カード名: dカード PLATINUM
                    年会費: 29,700円
                    ポイント還元率: 1.0%～4.5%
                    特徴: ドコモケータイやドコモ光などの支払いで最大20％還元、100万円利用ごとに1万円相当のクーポン還元（最大4万円相当まで）、マネックス証券でのdカード積立が最大3.1％還元、年間10回までプライオリティ・パスで国際線の空港ラウンジ利用可能、対象のレストランで対象のコース料理を2名以上で予約すると1名無料","","29,700円","Platinum","dカード PLATINUM","","ドコモ利用料金が最大20％還元されるプラチナカードです。","1.0%～4.5%","最大20,000円相当プレゼント","2025-10-01T14:04:43.461981"
"","カード名: 三井住友カード プラチナプリファード
                    年会費: 33,000円
                    ポイント還元率: 1.0%～10.0%
                    特徴: Visa加盟店どこでも1％還元、特約店では最大＋9％、SBI証券でのクレカ積立で最大3％付与（一定の条件あり）　※クレカ積立上限は10万円、対象のコンビニ・飲食店で最大7％還元、家族ポイントでさらに最大＋5％還元、年間最大4万ポイントのボーナスポイント、コンシェルジュデスクVPCCを利用可能","","33,000円","Platinum","三井住友カード プラチナプリファード","","還元率が最大10％、ポイント特化型の三井住友プラチナカードです。","1.0%～10.0%","最大49,000円相当プレゼント,さらに500円相当プレゼント","2025-10-01T14:04:43.462626"
"","カード名: JCBプラチナ
                    年会費: 27,500円
                    ポイント還元率: 0.5%～10.0%
                    特徴: 2名以上の予約で、有名レストランのコースメニュー1名分無料、USJ限定ラウンジで「ザ・フライング・ダイナソー」優先搭乗可、ナンバーレスデザインで、カード情報の覗き見リスク低、タッチ決済でスピーディーに支払い可、JCBグループ最高峰のJCB・ザ・クラスへの招待状が受け取れる","","27,500円","Platinum","JCBプラチナ","","優待店の利用で最大10%還元、クレカ積立でもポイントが貯まるプラチナカードです。","0.5%～10.0%","最大89,500円相当プレゼント,さらに500円相当プレゼント","2025-10-01T14:04:43.463215"
"","カード名: apollostation THE PLATINUM セゾン・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円（初年度無料）
                    ポイント還元率: 1.2%
                    特徴: 年間300万円以上の利用で年会費が無料になるプラチナカード、apollostationでガソリン・軽油が請求時2円/L引き＋月10万円以上利用すると10円引き/L、ロードサービスが自動付帯、1.2％還元で請求額に充当したりdポイントやPontaポイントに交換したりできる、コンシェルジュデスクや国内外の空港ラウンジ利用可能など一通りのプラチナカード特典を利用できる","","22,000円（初年度無料）","Platinum","apollostation THE PLATINUM セゾン・アメリカン・エキスプレス(R)・カード","","ポイント還元率1.2％でガソリンの値引も受けられるプラチナカードです。","1.2%","30,000円相当プレゼント,1/5までに価格.comからのお申し込みで初年度年会費無料","2025-10-01T14:04:43.463791"
"","カード名: セゾンプラチナ・ビジネス・アメリカン・エキスプレス(R)・カード
                    年会費: 33,000円（初年度無料）
                    ポイント還元率: 0.5%～1.0%
                    特徴: 旅行やホテル、コンサート予約もできるコンシェルジュ付き、最高1億円補償の旅行傷害保険が付帯、海外出張が多い個人事業主にぴったり","","33,000円（初年度無料）","Platinum","セゾンプラチナ・ビジネス・アメリカン・エキスプレス(R)・カード","","様々なビジネスサポートが受けられるセゾンプラチナカードです。","0.5%～1.0%","","2025-10-01T14:04:43.464290"
"","カード名: 三菱UFJカード・プラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.5%～7.0%
                    特徴: 24時間海外からでもつながるプラチナ・コンシェルジュサービス、空港ラウンジ、プライオリティパス、旅行保険などトラベルサービスが充実、プラチナ・グルメセレクションでは大人2名以上の利用で1名分のコースが無料、ホテルの部屋のアップグレードや朝食無料などのホテル優待、対象のコンビニ、飲食店、スーパーで最大20%還元","","22,000円","Platinum","三菱UFJカード・プラチナ・アメリカン・エキスプレス(R)・カード","","MUFGカードの基本機能とプラチナ専用サービスが受けられるカードです。","0.5%～7.0%","最大15,000円相当プレゼント","2025-10-01T14:04:43.464837"
"","カード名: JALカード プラチナ
                    年会費: 34,100円
                    ポイント還元率: 1.0%～2.0%
                    特徴: コンシェルジュデスクの利用が可能、海外空港ラウンジを利用できるプライオリティ・パス付帯、通常年会費4,950円のショッピングマイル・プレミアム自動加入でどこでも1％のマイル還元、フライトマイルは25％アップ、国際線ではエコノミークラス運賃でも、ビジネスクラスのチェックインカウンターを利用できる","","34,100円","Platinum","JALカード プラチナ","","世界の空港ラウンジが無料で利用できるJALカード最高位のカードです。","1.0%～2.0%","","2025-10-01T14:04:43.465352"
"","カード名: apollostation PLATINUM BUSINESS
                    年会費: 22,000円
                    ポイント還元率: 0.8%～1.0%
                    特徴: 年間利用額300万円以上で年会費が無料に、対象となりにくいスマホやノートPCなどもショッピング保険の対象、国際ブランドはVisaとAmerican Expressから選択可能、国内での利用時は0.8％還元、海外での利用時は1%還元、たまったポイントはカード利用金額に充当可能","","22,000円","Platinum","apollostation PLATINUM BUSINESS","","ビジネスサポートが充実し、給油でポイントが貯まるプラチナカードです。","0.8%～1.0%","最大22,000円相当プレゼント","2025-10-01T14:04:43.465886"
"","カード名: セゾンプラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 33,000円
                    ポイント還元率: 1.0%
                    特徴: 国内・海外で1％還元（2倍）、サービス年会費5,500円のSAISON MILE CLUBを利用可能　JALのマイル還元率が1.125％に、セゾンプラチナ・ビジネス・アメリカン・エキスプレス・カードとセットで持つと年会費が無料に、付帯するプライオリティ・パスはラウンジの他、飲食店やスパなども利用可能","","33,000円","Platinum","セゾンプラチナ・アメリカン・エキスプレス(R)・カード","","セゾンアメックス最高クラスのプラチナカードです。","1.0%","最大10,000円相当プレゼント","2025-10-01T14:04:43.466391"
"","カード名: TRUST CLUB プラチナマスターカード
                    年会費: 3,300円
                    ポイント還元率: 0.5%～1.23%
                    特徴: リーズナブルな年会費、2名以上の予約で有名レストランの食事1名分無料、最高3,000万円補償の旅行傷害保険が付帯、ショッピング利用100円につき2ポイント貯まり、ポイント獲得のスピードが早い、全国の高級旅館約900施設を利用可能で和の伝統をたっぷり味わえる","","3,300円","Platinum","TRUST CLUB プラチナマスターカード","","年会費3,300円で人気のサービスが受けられるプラチナカードです。","0.5%～1.23%","","2025-10-01T14:04:43.466887"
"","カード名: 三井住友カード プラチナ
                    年会費: 55,000円
                    ポイント還元率: 1.0%～7.0%
                    特徴: VisaプラチナとMastercard(R)プラチナの2枚持ち（別途年会費＋5,500円）でそれぞれのブランド特典を利用可能、どこで使っても還元率1％、「選べる無料保険」で2つ選択可能、プライオリティ・パスが自動付帯、毎年「メンバーズセレクション」のカタログギフトから商品・サービスを1つ選べる","","55,000円","Platinum","三井住友カード プラチナ","","2種類のカードデザインから選べる、三井住友プラチナカードです。","1.0%～7.0%","","2025-10-01T14:04:43.467388"
"","カード名: TRUST CLUB ワールドカード
                    年会費: 13,200円
                    ポイント還元率: 0.75%～1.65%
                    特徴: 国内に2つしか存在しないMastercardワールドのカード、MastercardのTaste of Premiumのワールド特典を利用でき、対象レストランの対象コース料理を2名以上で予約すると1名無料になる特典などを利用できる、プライオリティ・パス（Mastercardプログラム）に年会費無料で登録可能（都度35米ドル必要）、年間100万円の利用で貯まるポイントを年会費に充当可、出国時の防寒着を1着無料で預けることが可能","","13,200円","Platinum","TRUST CLUB ワールドカード","","旅行サービスに富んだカードです。","0.75%～1.65%","最大13,200円相当プレゼント","2025-10-01T14:04:43.467890"
"","カード名: 静銀セゾンプラチナ・アメリカン・エキスプレス(R)・カード
                    年会費: 22,000円
                    ポイント還元率: 0.6%～1.22%
                    特徴: 還元率が常時1％還元、使い勝手の良い「テングループ」のコンシェルジュデスクサービス、家族カードが1枚無料　家族会員もコンシェルジュデスクなどの利用が可能、法人口座に対応し、ビジネスオーナーでも利用でき、法人税などでも1％還元、貯まったポイントはマイルや年会費の充当などで利用可能","","22,000円","Platinum","静銀セゾンプラチナ・アメリカン・エキスプレス(R)・カード","","ポイント還元率1.0％。有効期限のない永久不滅ポイントが貯まるカードです。","0.6%～1.22%","最大60,000円相当プレゼント","2025-10-01T14:04:43.468464"
"","カード名: Oliveフレキシブルペイ プラチナプリファード
                    年会費: 33,000円
                    ポイント還元率: 1.0%～10.0%
                    特徴: 常時1％還元、特約店では＋9％還元、毎年100万円利用ごとに10,000ボーナスポイント付与（年間40,000ポイント上限）、Vポイントアッププログラムで対象のコンビニ・飲食店で最大20％還元、SBI証券でのクレカ積立で最大3％付与（一定の条件あり）　※クレカ積立上限は10万円、コンシェルジュデスクの利用が可能","","33,000円","Platinum","Oliveフレキシブルペイ プラチナプリファード","","ポイント還元率が常時1.0％、4つの機能が1枚に集約されたプラチナカードです。","1.0%～10.0%","最大11,000円相当プレゼント","2025-10-01T14:04:43.469029"
